year,species_code,hauljoin,sex,age,length
2013,21720,-10246,2,1,170
2013,21720,-9895,1,4,510
2013,21720,-9902,2,7,780
2013,21720,-10030,1,2,340
2013,21720,-10118,2,5,650
2013,21720,-9752,2,1,200
2013,21720,-9895,1,5,520
2013,21720,-10120,2,3,390
2013,21720,-10141,1,4,500
2013,21720,-9834,2,5,610
2013,21720,-10039,2,5,590
2013,21720,-10148,1,5,570
2013,21720,-10148,2,3,420
2013,21720,-10003,1,7,810
2013,21720,-9871,1,3,400
2013,21720,-10053,1,3,390
2013,21720,-10203,2,2,290
2013,21720,-10167,1,6,760
2013,21720,-9866,1,7,770
2013,21720,-10092,1,2,250
2013,21720,-9748,1,6,740
2013,21720,-10087,2,9,900
2013,21720,-10202,1,3,390
2013,21720,-10202,2,4,480
2013,21720,-10082,1,5,560
2013,21720,-9864,2,5,690
2013,21720,-9814,1,3,420
2013,21720,-9748,2,6,670
2013,21720,-10148,2,1,180
2013,21720,-10046,2,5,710
2013,21720,-10222,1,4,580
2013,21720,-10109,1,5,680
2013,21720,-10284,1,6,760
2013,21720,-9814,2,6,640
2013,21720,-10178,1,7,810
2013,21720,-10284,2,7,780
2013,21720,-9814,2,2,350
2013,21720,-10069,1,6,640
2013,21720,-9750,2,2,250
2013,21720,-10148,2,3,400
2013,21720,-10147,2,4,570
2013,21720,-9814,2,1,190
2013,21720,-10154,2,1,200
2013,21720,-10120,2,4,520
2013,21720,-9752,2,3,360
2013,21720,-10222,2,1,220
2013,21720,-10077,1,2,340
2013,21720,-9863,2,1,150
2013,21720,-9863,2,5,580
2013,21720,-9748,2,5,660
2013,21720,-10033,2,3,360
2013,21720,-10147,1,2,250
2013,21720,-9858,1,5,640
2013,21720,-9748,1,2,250
2013,21720,-9883,2,2,330
2013,21720,-10046,1,3,430
2013,21720,-10033,2,2,350
2013,21720,-10148,1,1,180
2013,21720,-9871,1,1,150
2013,21720,-10069,1,6,670
2013,21720,-10147,1,3,370
2013,21720,-9748,1,2,320
2013,21720,-10208,2,6,760
2013,21720,-9750,1,6,700
2013,21720,-10046,1,5,540
2013,21720,-10192,2,4,490
2013,21720,-10033,1,3,460
2013,21720,-10127,2,4,530
2013,21720,-10082,2,2,270
2013,21720,-10048,2,2,320
2013,21720,-10118,2,6,740
2013,21720,-10075,2,2,310
2013,21720,-9814,2,5,630
2013,21720,-10120,2,5,720
2013,21720,-10098,2,8,790
2013,21720,-10246,1,2,230
2013,21720,-10041,2,1,140
2013,21720,-10118,2,6,770
2013,21720,-10284,1,6,700
2013,21720,-10161,2,6,710
2013,21720,-10060,2,4,480
2013,21720,-10154,2,4,530
2013,21720,-10154,2,1,180
2013,21720,-10080,1,2,290
2013,21720,-10120,1,5,610
2013,21720,-10129,1,5,700
2013,21720,-10092,2,4,530
2013,21720,-10082,1,3,420
2013,21720,-10043,2,3,450
2013,21720,-10025,1,4,560
2013,21720,-10028,2,4,540
2013,21720,-10080,1,4,530
2013,21720,-10028,1,5,630
2013,21720,-10167,2,7,750
2013,21720,-10082,2,5,660
2013,21720,-9813,2,2,260
2013,21720,-9883,2,2,360
2013,21720,-10120,1,5,590
2013,21720,-9748,1,6,710
2013,21720,-9814,2,2,310
2013,21720,-10126,2,2,280
