sim,year,species_code,sex,rss,sex_desc
2,2015,21720,0,120.6091150594823,total_pre
2,2015,21720,1,99.00958137196871,male
2,2015,21720,2,86.30178319603883,female
2,2015,21720,4,97.18086786813674,total_post
3,2015,21720,0,281.3948764345227,total_pre
3,2015,21720,1,68.36972088460013,male
3,2015,21720,2,83.75830234364476,female
3,2015,21720,4,74.2091997099785,total_post
4,2015,21720,0,107.82652534066409,total_pre
4,2015,21720,1,60.8215369116567,male
4,2015,21720,2,170.64545520676404,female
4,2015,21720,4,100.53149405642137,total_post
5,2015,21720,0,45.349943645848825,total_pre
5,2015,21720,1,43.23733670579633,male
5,2015,21720,2,39.547195752541185,female
5,2015,21720,4,50.29891083128906,total_post
1,2015,21720,12,289.40793274982684,female_male
2,2015,21720,12,212.5837125167848,female_male
3,2015,21720,12,176.93786548558978,female_male
4,2015,21720,12,205.69743611376666,female_male
5,2015,21720,12,95.43691353832449,female_male
1,2015,21740,0,122.75089351646042,total_pre
1,2015,21740,1,81.3035613198233,male
1,2015,21740,2,133.69874034743722,female
1,2015,21740,4,124.04215947175078,total_post
2,2015,21740,0,81.8438606590768,total_pre
2,2015,21740,1,137.91058873321896,male
2,2015,21740,2,94.87547969901925,female
2,2015,21740,4,135.0758010991135,total_post
3,2015,21740,0,221.83681628830294,total_pre
3,2015,21740,1,82.34258999738842,male
3,2015,21740,2,116.19682335340731,female
3,2015,21740,4,116.46035225424417,total_post
4,2015,21740,0,165.73255480961853,total_pre
4,2015,21740,1,150.39866039823985,male
4,2015,21740,2,132.09307594281444,female
4,2015,21740,4,174.5040620757324,total_post
5,2015,21740,0,93.72312619130702,total_pre
5,2015,21740,1,122.95525799343585,male
5,2015,21740,2,58.93249933199685,female
5,2015,21740,4,106.98605204436664,total_post
1,2015,21740,12,217.1588893314827,female_male
2,2015,21740,12,248.21575487917286,female_male
3,2015,21740,12,209.46362425584834,female_male
4,2015,21740,12,306.27322216328963,female_male
5,2015,21740,12,177.7663245785469,female_male
1,2016,21720,0,156.86585279342768,total_pre
1,2016,21720,1,133.2636544438213,male
1,2016,21720,2,54.46950877939893,female
1,2016,21720,4,87.37366726860355,total_post
2,2016,21720,0,183.1639860259691,total_pre
2,2016,21720,1,73.7197088544972,male
2,2016,21720,2,40.34822334045833,female
2,2016,21720,4,56.22580027044948,total_post
3,2016,21720,0,103.5869661227971,total_pre
3,2016,21720,1,118.77300057830973,male
3,2016,21720,2,57.39206563750794,female
3,2016,21720,4,88.4231345838004,total_post
4,2016,21720,0,129.48945204725047,total_pre
4,2016,21720,1,89.94297542308942,male
4,2016,21720,2,299.84404888527297,female
4,2016,21720,4,189.97534591625012,total_post
5,2016,21720,0,126.26025368550881,total_pre
5,2016,21720,1,551.5764886552197,male
5,2016,21720,2,167.5726730575021,female
5,2016,21720,4,343.4171561513375,total_post
1,2016,21720,12,174.51127885631513,female_male
2,2016,21720,12,117.17076084780129,female_male
3,2016,21720,12,174.700220704852,female_male
4,2016,21720,12,304.8521839868891,female_male
5,2016,21720,12,533.724749320902,female_male
1,2016,21740,0,124.88264487104253,total_pre
1,2016,21740,1,104.8911014437697,male
1,2016,21740,2,93.24060007954427,female
1,2016,21740,4,119.98213113496081,total_post
2,2016,21740,0,124.63154907750695,total_pre
2,2016,21740,1,78.24948229679354,male
2,2016,21740,2,90.0063098675173,female
2,2016,21740,4,97.30634432409192,total_post
3,2016,21740,0,128.77410776392648,total_pre
3,2016,21740,1,123.51861047713444,male
3,2016,21740,2,107.10972043556181,female
3,2016,21740,4,127.54684347196503,total_post
4,2016,21740,0,89.73622836641665,total_pre
4,2016,21740,1,71.24809182329504,male
4,2016,21740,2,137.15090325321648,female
4,2016,21740,4,106.38185162080623,total_post
5,2016,21740,0,91.96563111596635,total_pre
5,2016,21740,1,60.43699016793918,male
5,2016,21740,2,96.55202874765423,female
5,2016,21740,4,84.0286629773952,total_post
1,2016,21740,12,212.74740569725904,female_male
2,2016,21740,12,178.03907684652236,female_male
3,2016,21740,12,250.2846729917453,female_male
4,2016,21740,12,199.1251860771386,female_male
5,2016,21740,12,158.66009092167974,female_male
1,2017,21720,0,81.54979327463593,total_pre
1,2017,21720,1,41.416973066951776,male
1,2017,21720,2,69.36701345693977,female
1,2017,21720,4,58.4136639259689,total_post
2,2017,21720,0,118.03431539870233,total_pre
2,2017,21720,1,147.36200340084852,male
2,2017,21720,2,62.917024166404346,female
2,2017,21720,4,105.64309998672341,total_post
3,2017,21720,0,124.9309229047142,total_pre
3,2017,21720,1,68.58143152737063,male
3,2017,21720,2,53.76565500811575,female
3,2017,21720,4,62.63791477278848,total_post
4,2017,21720,0,144.85522444707948,total_pre
4,2017,21720,1,175.3753555192117,male
4,2017,21720,2,58.30427008962859,female
4,2017,21720,4,102.91306124194749,total_post
5,2017,21720,0,461.9109718530676,total_pre
5,2017,21720,1,397.6504949947967,male
5,2017,21720,2,470.94071919224444,female
5,2017,21720,4,715.165777623353,total_post
1,2017,21720,12,117.22334774782074,female_male
2,2017,21720,12,197.3959999361851,female_male
3,2017,21720,12,130.4321208733369,female_male
4,2017,21720,12,182.52314213928918,female_male
5,2017,21720,12,847.2699498201971,female_male
1,2017,21740,0,557.6044671010902,total_pre
1,2017,21740,1,611.9392945045031,male
1,2017,21740,2,249.41418081105184,female
1,2017,21740,4,594.5408439349541,total_post
2,2017,21740,0,322.3980955488574,total_pre
2,2017,21740,1,169.75104951056105,male
2,2017,21740,2,159.4600276140637,female
2,2017,21740,4,198.0573320582852,total_post
3,2017,21740,0,236.05568377123026,total_pre
3,2017,21740,1,133.60488865709752,male
3,2017,21740,2,93.52583448844652,female
3,2017,21740,4,180.2522320160866,total_post
4,2017,21740,0,203.53223507279222,total_pre
4,2017,21740,1,134.2623258079485,male
4,2017,21740,2,107.90865106758798,female
4,2017,21740,4,137.57095989220625,total_post
5,2017,21740,0,178.55833011374028,total_pre
5,2017,21740,1,185.96837268274254,male
5,2017,21740,2,95.3889142060475,female
5,2017,21740,4,152.00373831474303,total_post
1,2017,21740,12,784.643021232277,female_male
2,2017,21740,12,347.64434615182233,female_male
3,2017,21740,12,245.64705230237414,female_male
4,2017,21740,12,261.6003820663309,female_male
5,2017,21740,12,293.1591685586047,female_male
1,2018,21720,0,229.94731846314468,total_pre
1,2018,21720,1,157.18261978063993,male
