sim,year,species_code,sex,rss,sex_desc
4,2014,21720,1,1441.5610710727117,male
4,2014,21720,2,1041.3134459893122,female
4,2014,21720,4,2019.5019278999557,total_post
5,2014,21720,0,820.9629768880162,total_pre
5,2014,21720,1,780.5113057586053,male
5,2014,21720,2,609.2411471729939,female
5,2014,21720,4,820.9629777271464,total_post
1,2014,21720,12,873.2325680142736,female_male
2,2014,21720,12,1574.27062324339,female_male
3,2014,21720,12,1987.9949899393976,female_male
4,2014,21720,12,2401.0907664875954,female_male
5,2014,21720,12,1381.0184850338885,female_male
1,2014,21740,0,3027.4948813858846,total_pre
1,2014,21740,1,3062.756636454396,male
1,2014,21740,2,2065.1714584272636,female
1,2014,21740,4,3027.4949584458172,total_post
2,2014,21740,0,1610.8832494196527,total_pre
2,2014,21740,1,2863.7463024459526,male
2,2014,21740,2,3457.979807876525,female
2,2014,21740,4,1610.8832000931345,total_post
3,2014,21740,0,1669.2176622808297,total_pre
3,2014,21740,1,1525.731803183795,male
3,2014,21740,2,1095.4323090530067,female
3,2014,21740,4,1669.2176926311863,total_post
4,2014,21740,0,4784.4737650897505,total_pre
4,2014,21740,1,9183.023582099484,male
4,2014,21740,2,3186.4568717273955,female
4,2014,21740,4,4784.473800200199,total_post
5,2014,21740,0,1265.188109648607,total_pre
5,2014,21740,1,1447.5504563715429,male
5,2014,21740,2,1451.3665560222116,female
5,2014,21740,4,1265.1881662272008,total_post
1,2014,21740,12,4705.605377474715,female_male
2,2014,21740,12,6365.95467614661,female_male
3,2014,21740,12,2650.283014986746,female_male
4,2014,21740,12,7360.972361275127,female_male
5,2014,21740,12,2449.36183984051,female_male
1,2015,21720,0,1835.5708382204077,total_pre
1,2015,21720,1,849.2715201843318,male
1,2015,21720,2,1782.6525647894578,female
1,2015,21720,4,1835.5708390326756,total_post
2,2015,21720,0,4750.896543684966,total_pre
2,2015,21720,1,3543.5211047568514,male
2,2015,21720,2,2334.4594153477146,female
2,2015,21720,4,4750.89576208335,total_post
3,2015,21720,0,1393.472010101528,total_pre
3,2015,21720,1,816.0724076402832,male
3,2015,21720,2,1084.169898622188,female
3,2015,21720,4,1393.472216399112,total_post
4,2015,21720,0,1855.1786619854736,total_pre
4,2015,21720,1,1533.22422952052,male
4,2015,21720,2,951.6771909373092,female
4,2015,21720,4,1855.1787091273948,total_post
5,2015,21720,0,2435.6577096211713,total_pre
5,2015,21720,1,1600.7550979162013,male
5,2015,21720,2,1215.21988992036,female
5,2015,21720,4,2435.6582664656676,total_post
1,2015,21720,12,2168.4650289036877,female_male
2,2015,21720,12,5735.8457664831785,female_male
3,2015,21720,12,1882.1112238238102,female_male
4,2015,21720,12,2414.0018419163926,female_male
5,2015,21720,12,2760.456106063979,female_male
1,2015,21740,0,1263.6030637859872,total_pre
1,2015,21740,1,935.2117958982482,male
1,2015,21740,2,1327.354786111221,female
1,2015,21740,4,1263.603046960648,total_post
2,2015,21740,0,933.6818418971033,total_pre
2,2015,21740,1,712.0268856572973,male
2,2015,21740,2,843.7425028686978,female
2,2015,21740,4,933.681823325358,total_post
3,2015,21740,0,8286.85511630276,total_pre
3,2015,21740,1,5215.240745900805,male
3,2015,21740,2,9358.677731674965,female
3,2015,21740,4,8286.85470330261,total_post
4,2015,21740,0,3185.693604766822,total_pre
4,2015,21740,1,3040.9430973808917,male
4,2015,21740,2,2038.8877298263485,female
4,2015,21740,4,3185.6935633481485,total_post
5,2015,21740,0,5563.340639525393,total_pre
5,2015,21740,1,2522.251858688111,male
5,2015,21740,2,4284.882685370812,female
5,2015,21740,4,5563.340959392757,total_post
1,2015,21740,12,2211.394014991837,female_male
2,2015,21740,12,1567.259811382829,female_male
3,2015,21740,12,11949.493522504725,female_male
4,2015,21740,12,4970.156342207489,female_male
5,2015,21740,12,6363.573193204155,female_male
1,2016,21720,0,2702.85399014836,total_pre
1,2016,21720,1,1786.1893998709024,male
1,2016,21720,2,1740.2006366040828,female
1,2016,21720,4,2702.8543652208477,total_post
2,2016,21720,0,2100.4041895522955,total_pre
2,2016,21720,1,1320.3730386421087,male
2,2016,21720,2,1713.960617623605,female
2,2016,21720,4,2100.4049622268335,total_post
3,2016,21720,0,2171.534851368217,total_pre
3,2016,21720,1,1267.5093094135786,male
3,2016,21720,2,1458.742102652138,female
3,2016,21720,4,2171.534279666888,total_post
4,2016,21720,0,3005.8478379568123,total_pre
4,2016,21720,1,1217.459017157062,male
4,2016,21720,2,1590.1035388637833,female
4,2016,21720,4,3005.8465562571178,total_post
5,2016,21720,0,5071.09840487547,total_pre
5,2016,21720,1,2559.729245237796,male
5,2016,21720,2,2833.688209685597,female
5,2016,21720,4,5071.09683918653,total_post
1,2016,21720,12,3505.9065355449375,female_male
2,2016,21720,12,2886.2351138940676,female_male
3,2016,21720,12,2751.8636768104525,female_male
4,2016,21720,12,2737.2703726447453,female_male
5,2016,21720,12,5213.485805608607,female_male
1,2016,21740,0,3935.8213095121664,total_pre
1,2016,21740,1,2786.199559850634,male
1,2016,21740,2,3354.3097713393645,female
1,2016,21740,4,3935.8212436365548,total_post
2,2016,21740,0,8540.0354783796,total_pre
2,2016,21740,1,8651.532397348237,male
2,2016,21740,2,3694.902813309271,female
2,2016,21740,4,8540.034672365085,total_post
3,2016,21740,0,5100.539672681933,total_pre
3,2016,21740,1,2613.8447841462153,male
3,2016,21740,2,4043.6560812363205,female
3,2016,21740,4,5100.539407687951,total_post
4,2016,21740,0,1057.093211623736,total_pre
4,2016,21740,1,1107.2157328763026,male
4,2016,21740,2,872.1330338659938,female
4,2016,21740,4,1057.0931880606418,total_post
5,2016,21740,0,1590.9741246417266,total_pre
5,2016,21740,1,1276.8377142050929,male
5,2016,21740,2,1265.0300183275333,female
5,2016,21740,4,1590.9742239052912,total_post
1,2016,21740,12,5331.539718420504,female_male
2,2016,21740,12,9604.027058956379,female_male
3,2016,21740,12,5279.5717587983345,female_male
4,2016,21740,12,2004.1531203795078,female_male
5,2016,21740,12,2546.120559204215,female_male
1,2017,21720,0,5942.029622921907,total_pre
1,2017,21720,1,2454.771074888842,male
1,2017,21720,2,4206.726970042333,female
1,2017,21720,4,5942.0252695191175,total_post
2,2017,21720,0,5585.853344933672,total_pre
2,2017,21720,1,3549.929769475809,male
2,2017,21720,2,2591.960637608707,female
2,2017,21720,4,5585.852576413588,total_post
3,2017,21720,0,4286.369502838604,total_pre
3,2017,21720,1,2982.7248200775243,male
3,2017,21720,2,1742.2342501849942,female
3,2017,21720,4,4286.3684074734465,total_post
4,2017,21720,0,4805.804142962182,total_pre
4,2017,21720,1,2515.5813069756755,male
4,2017,21720,2,2923.274261612294,female
4,2017,21720,4,4805.803528645809,total_post
5,2017,21720,0,3675.6346612741513,total_pre
5,2017,21720,1,2195.6402108631187,male
5,2017,21720,2,2147.1330696488762,female
5,2017,21720,4,3675.635232887887,total_post
1,2017,21720,12,6157.363741734076,female_male
2,2017,21720,12,6028.217304353154,female_male
3,2017,21720,12,4320.156744112766,female_male
4,2017,21720,12,5328.284084248394,female_male
5,2017,21720,12,4379.5855514617,female_male
1,2017,21740,0,7031.709270486171,total_pre
1,2017,21740,1,5152.682947122646,male
1,2017,21740,2,2781.4635631906426,female
1,2017,21740,4,7031.7092634552855,total_post
2,2017,21740,0,3982.0896315719942,total_pre
2,2017,21740,1,3424.524621169695,male
2,2017,21740,2,3530.2835801774518,female
2,2017,21740,4,3982.0896026066207,total_post
3,2017,21740,0,11766.532487392005,total_pre
3,2017,21740,1,5839.856282826251,male
3,2017,21740,2,6538.458888494674,female
