year,species_code,sex,age,agepop,mean_length,sd_length
2018,21740,2,3,52379613,30.94,1.79
2018,21740,2,4,79547056,38.03,2.09
2018,21740,2,5,748027266,42.59,1.96
2018,21740,2,6,748117577,46.42,2.62
2018,21740,2,7,277738092,50.5,3.17
2018,21740,2,8,124095626,51.16,2.78
2018,21740,2,9,101352078,52.52,2.98
2018,21740,2,10,73169228,55.08,3.54
2018,21740,2,11,25759541,55.61,3.45
2018,21740,2,12,5045498,60.34,4.29
2018,21740,3,1,620962319,13.96,1.55
2018,21740,3,2,10125464,13.68,3.44
2018,21740,3,3,429417,32.29,3.49
2018,21740,3,4,201736,36,0
2018,21740,3,6,117753,49,0
2018,21740,3,7,64484,49,0
2018,21740,3,8,36447,49,0
2018,21740,3,9,28036,49,0
2018,21740,3,10,11215,49,0
2019,21720,1,1,227863832,21.83,3.81
2019,21720,1,2,10548451,38.22,2.74
2019,21720,1,3,26008390,46.5,3.06
2019,21720,1,4,41946373,56.9,4.06
2019,21720,1,5,24623570,65.51,4.18
2019,21720,1,6,26196161,71.79,4.03
2019,21720,1,7,5943176,79.43,4.84
2019,21720,1,8,1095906,83.6,3.47
2019,21720,1,9,29943,91,0
2019,21720,2,1,206337338,21.96,3.6
2019,21720,2,2,12014604,37.56,4.28
2019,21720,2,3,26268558,46.79,3.27
2019,21720,2,4,38698516,57.28,4.09
2019,21720,2,5,25650135,66.84,4.22
2019,21720,2,6,30965638,74.92,4.59
2019,21720,2,7,9052861,84.49,6.3
2019,21720,2,8,792646,87.1,6.98
2019,21720,2,9,88286,95,0
2019,21720,2,10,105974,93,0
2019,21720,3,1,3905320,15.61,3.12
2019,21720,3,2,28458,36,0
2019,21740,1,1,285007274,15.98,2.3
2019,21740,1,2,350377973,26.82,3.01
2019,21740,1,3,119719409,34.61,2.2
2019,21740,1,4,94739332,38.71,2.62
2019,21740,1,5,454476602,42.68,2.16
2019,21740,1,6,2812702025,46.03,2.16
2019,21740,1,7,536129310,49.51,2.49
2019,21740,1,8,220659632,50.46,2.25
2019,21740,1,9,151778364,52.63,3.02
2019,21740,1,10,60240861,52.6,3.26
2019,21740,1,11,34663506,55.82,2.53
2019,21740,1,12,4444314,60.5,1.88
2019,21740,2,1,251956806,15.8,2.12
2019,21740,2,2,251947735,27.43,4.12
2019,21740,2,3,88833875,34.75,4.16
2019,21740,2,4,73048403,38.35,1.11
2019,21740,2,5,352885231,43.31,2.27
2019,21740,2,6,2638850656,47.36,2.46
2019,21740,2,7,683153681,51.46,3.02
2019,21740,2,8,213176529,52.95,2.95
2019,21740,2,9,113564727,53.69,3.97
2019,21740,2,10,84737645,54.48,2.99
2019,21740,2,11,34851096,57.65,3.39
2019,21740,2,12,7609386,58.51,1.93
2019,21740,3,1,1902438441,13.78,1.7
2019,21740,3,2,2029510,22.22,2.26
2019,21740,3,3,22747,31,0
2019,21740,3,4,22747,31,0
2019,21740,3,6,20499,53.84,1.31
2019,21740,3,7,76597,55.13,2.69
2019,21740,3,8,31098,55.24,2.39
2019,21740,3,9,36653,55.13,2.18
2019,21740,3,10,27566,56.92,3.1
2019,21740,3,11,14990,57.85,3.33
2019,21740,3,12,11740,60.33,0.94
2021,21720,1,1,58440936,22.35,2.89
