year,species_code,length,sex,abund
2013,21740,22,1,6602423
2013,21740,22,2,7278775
2013,21740,22,3,153722
2013,21740,23,0,11845267
2013,21740,23,1,5442738
2013,21740,23,2,6402530
2013,21740,24,0,14148652
2013,21740,24,1,7916046
2013,21740,24,2,6104397
2013,21740,24,3,128208
2013,21740,25,0,9993607
2013,21740,25,1,5591479
2013,21740,25,2,4273920
2013,21740,25,3,128208
2013,21740,26,0,10181121
2013,21740,26,1,6614763
2013,21740,26,2,3449761
2013,21740,26,3,116598
2013,21740,27,0,8110990
2013,21740,27,1,4191472
2013,21740,27,2,3834589
2013,21740,27,3,84930
2013,21740,28,0,13222747
2013,21740,28,1,7913975
2013,21740,28,2,5308773
2013,21740,29,0,11638315
2013,21740,29,1,6571502
2013,21740,29,2,5066813
2013,21740,30,0,13191498
2013,21740,30,1,7961689
2013,21740,30,2,5229807
2013,21740,31,0,11644036
2013,21740,31,1,7156707
2013,21740,31,2,4487329
2013,21740,32,0,15445011
2013,21740,32,1,7196688
2013,21740,32,2,8248323
2013,21740,33,0,8230989
2013,21740,33,1,3171563
2013,21740,33,2,5059424
2013,21740,34,0,21452863
2013,21740,34,1,13720785
2013,21740,34,2,7671254
2013,21740,34,3,60823
2013,21740,35,0,29035562
2013,21740,35,1,19247062
2013,21740,35,2,9788500
2013,21740,36,0,81261014
2013,21740,36,1,47251686
2013,21740,36,2,34009329
2013,21740,37,0,90070239
2013,21740,37,1,54676203
2013,21740,37,2,35394036
2013,21740,38,0,220883873
2013,21740,38,1,134945059
2013,21740,38,2,85938814
2013,21740,39,0,264733501
2013,21740,39,1,153789211
2013,21740,39,2,110944289
2013,21740,40,0,478780659
2013,21740,40,1,286099245
2013,21740,40,2,192681412
2013,21740,41,0,555463014
2013,21740,41,1,305177730
2013,21740,41,2,250285285
2013,21740,42,0,716070468
2013,21740,42,1,370968192
2013,21740,42,2,345102277
2013,21740,43,0,639819873
2013,21740,43,1,311527780
2013,21740,43,2,327992931
2013,21740,43,3,299162
2013,21740,44,0,646491584
2013,21740,44,1,286461944
2013,21740,44,2,360029640
2013,21740,45,0,445629972
2013,21740,45,1,210705666
2013,21740,45,2,234924307
2013,21740,46,0,408184513
2013,21740,46,1,190203271
2013,21740,46,2,217981243
2013,21740,47,0,267119808
2013,21740,47,1,127559239
2013,21740,47,2,139560569
2013,21740,48,0,258471307
2013,21740,48,1,121576100
2013,21740,48,2,136895208
2013,21740,49,0,184766123
2013,21740,49,1,84558230
2013,21740,49,2,100207893
2013,21740,50,0,182473418
2013,21740,50,1,85436345
