year,species_code,sex,age,mean_length_bs,sd_length_bs,mean_length,sd_length
2014,21740,4,23,74.57477401129943,4.788891014029433,72.07,4.05
2015,21720,0,1,21.00386000000002,1.3340121728660161,20.14,5.42
2015,21720,0,2,34.59244,0.17846721686346198,34.59,3.1
2015,21720,0,3,44.824659999999994,0.5795330893082866,44.79,4.52
2015,21720,0,4,54.91087999999998,0.3803584766263044,54.89,4.52
2015,21720,0,5,61.78894000000002,0.653830609049975,61.71,5.84
2015,21720,0,6,71.53989999999992,0.9830673592718516,71.51,4.95
2015,21720,0,7,75.34667999999996,1.9022136080949594,75.62,7.66
2015,21720,0,8,81.45646000000008,2.8856921017690755,81.99,6.21
2015,21720,0,9,88.53154017857149,11.174107558344488,85.38,14.03
2015,21720,0,10,93.79343358395994,1.8858451819346327,94.29,2.09
2015,21720,0,11,98,0,98,0
2015,21720,0,12,86,0,86,0
2015,21720,0,13,103,0,103,0
2015,21720,1,1,22.31640000000001,1.0867221217679706,22.09,4.05
2015,21720,1,2,34.68534,0.20980304820968695,34.63,3.17
2015,21720,1,3,45.082679999999996,0.7772027443412839,45.09,4.55
2015,21720,1,4,54.66934,0.4257872167031504,54.64,4.27
2015,21720,1,5,61.69560000000001,0.8110372388525766,61.67,5.39
2015,21720,1,6,70.64447999999994,1.6454696199384176,70.83,5.49
2015,21720,1,7,72.47869999999998,2.2681876157232326,73.16,6.82
2015,21720,1,8,80.29427710843368,3.058764295201523,81.15,4.7
2015,21720,1,9,87,0,87,0
2015,21720,1,12,86,0,86,0
2015,21720,2,1,22.138640000000013,1.3775227359925326,21.34,4.87
2015,21720,2,2,34.59198000000001,0.238889128323711,34.53,3.01
2015,21720,2,3,44.41436000000002,0.7869543727367803,44.4,4.45
2015,21720,2,4,55.28136000000002,0.5339261228009159,55.31,4.76
2015,21720,2,5,61.93833999999999,1.0420587398196268,61.88,6.29
2015,21720,2,6,72.0906199999999,1.0912329698046963,72.19,4.28
2015,21720,2,7,78.45704,2.4394338099292736,78.94,6.86
2015,21720,2,8,83.40783567134267,4.83267411288777,83.96,6.49
2015,21720,2,9,88.263658536585325,14.114777847996875,84.13,15.13
2015,21720,2,10,93.7356072351421,1.8496024865601488,94.02,1.99
2015,21720,2,11,98,0,98,0
2015,21720,2,13,103,0,103,0
2015,21720,3,1,16.28948000000001,3.587051659624884,14.67,4.79
2015,21720,3,2,33.94700315457413,0.30580177349642934,33.96,3.1
2015,21720,3,3,46.78226373626371,4.745280281744842,44.42,4.07
2015,21720,3,4,54.86169491525419,3.300098706645706,52.75,4.39
2015,21720,3,5,60.56522292993633,3.2968820059011517,59.59,6.3
2015,21720,3,6,70.56117206982542,2.2009481758592035,69.86,3.01
2015,21720,3,7,69.21925925925929,4.258554619790082,68.43,5.49
2015,21720,3,8,74.40620689655172,0.4677755708396169,74.42,0.49
2015,21720,4,1,21.37533851440676,1.238244672858503,20.690222812742377,4.531364944948283
2015,21720,4,2,34.61366906981382,0.1716145560183056,34.55747105889278,3.0942765260147946
2015,21720,4,3,44.70843460021941,0.5901435339834972,44.71918949513636,4.48273108685873
2015,21720,4,4,54.92996326864731,0.36633328067232446,54.93374338726948,4.508476682372889
2015,21720,4,5,61.77789565503534,0.6769168515431692,61.75814381476756,5.854297853054581
2015,21720,4,6,71.36588906504619,0.9860315159233453,71.55100095730755,4.834046647462239
2015,21720,4,7,75.13591009576314,1.942456312739477,75.90134630232583,6.836444347346343
2015,21720,4,8,81.20927223244702,2.853265800009663,82.52683634028864,5.5771374014056825
2015,21720,4,9,87.59281262785069,11.65346641254284,84.70157046800074,12.116807950922876
2015,21720,4,10,93.7356072351421,1.8496024865601488,94.02,1.99
2015,21720,4,11,98,0,98,0
2015,21720,4,12,86,0,86,0
2015,21720,4,13,103,0,103,0
2015,21740,0,1,14.517400000000006,0.17685416248869906,14.53,2.27
2015,21740,0,2,24.522480000000023,0.7236637534491499,24.77,3.52
2015,21740,0,3,36.047299999999986,0.4751598296651925,35.9,3.66
2015,21740,0,4,39.87966000000001,0.8041022604685185,39.8,2.42
2015,21740,0,5,43.72656000000002,0.4676348266138058,43.69,2.57
2015,21740,0,6,45.92464000000002,0.3508159261322897,45.94,3.21
2015,21740,0,7,48.96621999999999,0.22158997231748392,48.96,3.2
2015,21740,0,8,50.79511999999994,0.5159031864561328,50.75,3.68
2015,21740,0,9,55.22015999999999,1.0002428434594188,55.24,4.45
2015,21740,0,10,56.64846000000005,1.432435678257383,56.56,4.65
2015,21740,0,11,60.23881999999998,2.423623136094311,59.56,3.74
2015,21740,0,12,62.81110887096773,2.6066968494419993,62.71,3.97
2015,21740,0,13,60.04711422845692,2.7051129798796962,59.75,5.11
2015,21740,0,14,63.02066265060244,2.7622386458578534,62.97,4.74
2015,21740,0,15,65.68287148594379,3.1791827258552567,66.34,4.69
2015,21740,0,16,64.31142553191489,5.0456941775387705,64.17,5.49
2015,21740,0,17,70,0,70,0
2015,21740,0,18,70.88079069767443,5.897398844088264,68.94,6.19
2015,21740,0,19,70.99346883468834,0.9322450693195696,71.15,0.99
2015,21740,0,20,70,0,70,0
2015,21740,1,1,16.51008,0.2737456245017768,16.33,1.58
2015,21740,1,2,24.24395999999999,0.7588277522040362,24.58,3.39
2015,21740,1,3,36.38577999999999,0.48598019001825615,36.16,3.3
2015,21740,1,4,39.56871999999998,1.0509049262078165,39.42,2.42
2015,21740,1,5,43.30507999999999,0.5891335589665565,43.27,2.54
2015,21740,1,6,45.42133999999998,0.41622408553417184,45.42,2.87
2015,21740,1,7,48.47906000000002,0.26441396689997976,48.5,3.07
2015,21740,1,8,50.26697999999999,0.6755058073707308,50.2,3.53
2015,21740,1,9,53.81841999999994,1.3443476651855277,53.83,3.98
2015,21740,1,10,56.12969999999994,1.656838778964012,55.92,4.02
2015,21740,1,11,59,0,59,0
2015,21740,1,12,64.9600228310502,1.5752604664737153,64.36,1.64
2015,21740,1,13,57.98741414141417,3.079320962695768,57.82,4.32
2015,21740,1,14,60.5712227074236,3.83565551194452,60.59,4.36
2015,21740,1,15,63.27991649269311,3.466514532720762,62.65,4.3
2015,21740,1,16,66.6099771167048,4.291758450309783,66.93,3.45
2015,21740,1,18,70.11977142857143,7.665202543544775,64.9,3.68
2015,21740,1,20,70,0,70,0
2015,21740,2,1,16.65704000000001,0.312289429496983,16.63,1.76
2015,21740,2,2,23.921920000000018,0.9115051271351067,24.12,3.22
2015,21740,2,3,36.24276,0.6122002619416647,36.09,3.73
2015,21740,2,4,40.14899999999997,0.9945939040976154,40.12,2.22
2015,21740,2,5,44.35306000000001,0.6766734887823238,44.26,2.44
2015,21740,2,6,46.53082,0.626455441704262,46.49,3.37
2015,21740,2,7,49.40118,0.34684840381708687,49.35,3.29
2015,21740,2,8,51.32014000000004,0.6497286163852566,51.3,3.61
2015,21740,2,9,55.93349999999999,1.2486224674144961,56.15,4.74
2015,21740,2,10,57.47282,1.9443743030756504,57.15,4.57
2015,21740,2,11,60.27261569416496,2.7881321790000877,59.56,4.11
2015,21740,2,12,62.435807770961155,3.9083773272068725,62.57,4.38
2015,21740,2,13,63.25246464646462,3.2425434215052213,63.1,3.77
2015,21740,2,14,65.48527494908353,2.5448042456618385,65.71,3.36
2015,21740,2,15,69.0294384449244,4.178340267331161,68.03,3.63
2015,21740,2,16,57,0,57,0
2015,21740,2,17,70,0,70,0
2015,21740,2,18,72,0,72,0
2015,21740,2,19,71.00035230352302,0.9362028042910052,71.25,0.97
2015,21740,3,1,13.405839999999996,0.2022020418577986,13.43,1.74
2015,21740,3,2,19.345450901803588,0.831654099526495,19.1,1.44
2015,21740,3,4,44,0,44,0
2015,21740,3,5,47.24418831168835,1.6276804473514754,46.95,2.75
2015,21740,3,6,49.83538961038961,0.9941874282536305,49.81,3.43
2015,21740,3,7,51.49353896103895,0.4055231170686734,51.5,2.7
2015,21740,3,8,52.82123376623375,0.6359586653255911,52.83,3.03
2015,21740,3,9,55.00133116883117,0.9770242566657633,55.18,2.86
2015,21740,3,10,55.426071428571454,1.1694305895076154,55.46,2.66
2015,21740,3,11,57.7456956521739,1.5949648374594676,57.34,2.13
2015,21740,3,12,59,0,59,0
2015,21740,3,13,55.72922448979588,1.6902855911725865,56.22,2.3
2015,21740,3,14,56.57407643312103,0.46156777902421825,56.78,0.41
2015,21740,3,15,58,0,58,0
2015,21740,3,16,57,0,57,0
2015,21740,4,1,14.521776301222216,0.16825722875516708,14.541913232160148,1.7115355164538382
2015,21740,4,2,24.115090725265993,0.6163679216624959,24.373112374905894,3.3137827038973167
2015,21740,4,3,36.32744561184271,0.4144022343502951,36.12711710713974,3.5019949132844705
2015,21740,4,4,39.85919005909492,0.6950552168233488,39.78829086231552,2.314770653411163
2015,21740,4,5,43.78224480301155,0.44762177798612607,43.74025656543342,2.492509661015615
2015,21740,4,6,45.90218936994726,0.3511814235308149,45.900902025373036,3.094633854227884
2015,21740,4,7,48.95783626319498,0.23035556325559603,48.94528130971258,3.1850932302150965
2015,21740,4,8,50.809865095678234,0.49176616625141073,50.78706030237436,3.572556109419763
2015,21740,4,9,54.90802091538431,0.9753199588325612,55.141891875865156,4.409316749867249
2015,21740,4,10,56.58652350932705,1.3049891266755298,56.48460069351811,4.27210278359644
2015,21740,4,11,59.96511088512063,2.3616703300419304,59.4477225635572,3.2910978928476675
2015,21740,4,12,62.74902912211554,2.266604026109508,63.06464851537413,3.621131291839787
2015,21740,4,13,59.355932065999035,2.335435664121815,59.69288664311058,4.124640100997565
2015,21740,4,14,62.51052378023254,2.9059981418412217,62.82190136903316,3.9235142719996032
2015,21740,4,15,64.74630711809957,3.316854852908052,65.28267740131335,3.9716408459768178
2015,21740,4,16,63.3830925681799,4.669204656431707,64.29086853803773,2.5330812141218635
2015,21740,4,17,70,0,70,0
2015,21740,4,18,70.02011548183593,5.501685346065353,67.15487826002169,2.51127436663665
2015,21740,4,19,71.00035230352302,0.9362028042910052,71.25,0.97
2015,21740,4,20,70,0,70,0
2016,21720,0,1,21.796200000000006,0.8543897961982548,21.47,3.85
2016,21720,0,2,35.92270000000003,0.6071340325388901,35.84,3.84
2016,21720,0,3,45.589640000000045,0.3076510502785176,45.56,4.1
2016,21720,0,4,51.634759999999964,0.5887302855282683,51.58,5.45
2016,21720,0,5,62.515020000000014,0.7232083103229944,62.49,6.48
2016,21720,0,6,67.94262,1.1297328570314809,67.97,7.06
2016,21720,0,7,74.6171400000001,2.8041408724357857,74.63,9.2
2016,21720,0,8,81.91212,4.250578117652767,81.79,9.17
2016,21720,0,9,83.3344176706827,5.318297537221427,82.68,7.96
2016,21720,0,10,94.96965197215775,6.224056563942288,95.26,7.15
2016,21720,0,11,86.34026578073092,5.534851813354338,84.41,4.81
