year,survey,species_code,stratum,hauljoin,sex,length,age,lat_mid,long_mid
2013,98,21720,10,-10072,1,600,4,58.675385,-165.94282
2013,98,21720,10,-10072,1,400,3,58.675385,-165.94282
2013,98,21720,10,-10072,1,420,3,58.675385,-165.94282
2013,98,21720,10,-10072,1,630,4,58.675385,-165.94282
2013,98,21720,10,-10072,1,650,5,58.675385,-165.94282
2013,98,21720,10,-10072,1,470,4,58.675385,-165.94282
2013,98,21720,10,-10072,1,270,2,58.675385,-165.94282
2013,98,21720,10,-10072,1,350,2,58.675385,-165.94282
2013,98,21720,10,-10072,1,560,4,58.675385,-165.94282
2013,98,21720,10,-10072,1,610,5,58.675385,-165.94282
2013,98,21720,10,-10072,1,620,5,58.675385,-165.94282
2013,98,21720,10,-10072,1,610,5,58.675385,-165.94282
2013,98,21720,10,-10072,2,290,2,58.675385,-165.94282
2013,98,21720,10,-10072,2,640,4,58.675385,-165.94282
2013,98,21720,10,-10072,2,560,5,58.675385,-165.94282
2013,98,21720,10,-10072,2,630,4,58.675385,-165.94282
2013,98,21720,10,-10072,2,550,3,58.675385,-165.94282
2013,98,21720,10,-10072,2,500,3,58.675385,-165.94282
2013,98,21720,10,-10072,2,330,2,58.675385,-165.94282
2013,98,21720,10,-10072,2,150,1,58.675385,-165.94282
2013,98,21720,10,-10072,2,300,2,58.675385,-165.94282
2013,98,21720,20,-10073,1,360,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,680,7,59.00409,-165.93513
2013,98,21720,20,-10073,1,670,6,59.00409,-165.93513
2013,98,21720,20,-10073,1,310,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,280,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,850,8,59.00409,-165.93513
2013,98,21720,20,-10073,1,290,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,280,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,260,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,180,1,59.00409,-165.93513
2013,98,21720,20,-10073,1,160,1,59.00409,-165.93513
2013,98,21720,20,-10073,1,260,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,170,1,59.00409,-165.93513
2013,98,21720,20,-10073,1,280,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,350,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,340,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,340,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,570,5,59.00409,-165.93513
2013,98,21720,20,-10073,1,270,2,59.00409,-165.93513
2013,98,21720,20,-10073,1,580,5,59.00409,-165.93513
2013,98,21720,20,-10073,1,750,7,59.00409,-165.93513
2013,98,21720,20,-10075,1,690,6,59.628045,-165.928435
2013,98,21720,20,-10075,1,610,5,59.628045,-165.928435
2013,98,21720,20,-10075,1,630,5,59.628045,-165.928435
2013,98,21720,20,-10075,1,620,5,59.628045,-165.928435
2013,98,21720,20,-10075,1,660,5,59.628045,-165.928435
2013,98,21720,20,-10075,1,580,6,59.628045,-165.928435
2013,98,21720,20,-10075,1,600,4,59.628045,-165.928435
2013,98,21720,20,-10075,1,650,6,59.628045,-165.928435
2013,98,21720,20,-10075,1,300,2,59.628045,-165.928435
2013,98,21720,20,-10075,1,670,6,59.628045,-165.928435
2013,98,21720,20,-10075,1,570,5,59.628045,-165.928435
2013,98,21720,20,-10075,2,650,6,59.628045,-165.928435
2013,98,21720,20,-10075,2,720,5,59.628045,-165.928435
2013,98,21720,20,-10075,2,580,4,59.628045,-165.928435
2013,98,21720,20,-10075,2,570,5,59.628045,-165.928435
2013,98,21720,20,-10075,2,610,6,59.628045,-165.928435
2013,98,21720,20,-10075,2,620,5,59.628045,-165.928435
2013,98,21720,42,-10092,1,250,2,57.33169,-168.991015
2013,98,21720,42,-10092,1,170,1,57.33169,-168.991015
2013,98,21720,42,-10092,1,240,2,57.33169,-168.991015
2013,98,21720,42,-10092,1,230,2,57.33169,-168.991015
2013,98,21720,42,-10092,1,760,8,57.33169,-168.991015
2013,98,21740,42,-10092,1,580,8,57.33169,-168.991015
2013,98,21740,42,-10092,1,540,9,57.33169,-168.991015
2013,98,21740,42,-10092,1,450,5,57.33169,-168.991015
2013,98,21740,42,-10092,1,500,7,57.33169,-168.991015
2013,98,21740,42,-10092,2,560,7,57.33169,-168.991015
2013,98,21740,42,-10092,2,530,6,57.33169,-168.991015
2013,98,21740,42,-10092,2,150,1,57.33169,-168.991015
2013,98,21740,42,-10092,2,140,1,57.33169,-168.991015
2013,98,21740,32,-10093,3,180,1,57.169015,-168.633515
2013,98,21740,32,-10093,3,150,1,57.169015,-168.633515
2013,98,21740,32,-10093,1,420,5,57.169015,-168.633515
2013,98,21740,32,-10093,1,420,5,57.169015,-168.633515
2013,98,21740,32,-10093,1,450,6,57.169015,-168.633515
2013,98,21740,32,-10094,3,180,1,57.00736,-168.947195
2013,98,21740,32,-10093,2,460,6,57.169015,-168.633515
2013,98,21740,32,-10093,2,410,5,57.169015,-168.633515
2013,98,21740,32,-10093,2,500,7,57.169015,-168.633515
2013,98,21740,32,-10094,3,130,1,57.00736,-168.947195
2013,98,21740,32,-10094,1,490,6,57.00736,-168.947195
2013,98,21740,32,-10094,1,410,5,57.00736,-168.947195
2013,98,21740,32,-10094,1,410,5,57.00736,-168.947195
2013,98,21740,32,-10094,1,430,4,57.00736,-168.947195
2013,98,21740,32,-10094,2,480,6,57.00736,-168.947195
2013,98,21740,32,-10094,2,440,5,57.00736,-168.947195
2013,98,21740,32,-10095,2,130,1,56.82943,-168.625225
2013,98,21740,32,-10095,2,130,1,56.82943,-168.625225
2013,98,21740,32,-10095,2,550,6,56.82943,-168.625225
2013,98,21740,32,-10095,2,410,5,56.82943,-168.625225
2013,98,21740,32,-10095,2,420,5,56.82943,-168.625225
2013,98,21740,32,-10095,1,410,5,56.82943,-168.625225
2013,98,21740,32,-10095,1,480,4,56.82943,-168.625225
2013,98,21740,32,-10095,1,420,5,56.82943,-168.625225
2013,98,21740,32,-10096,3,150,1,56.673945,-168.920955
2013,98,21740,32,-10096,3,130,1,56.673945,-168.920955
2013,98,21740,32,-10096,2,550,8,56.673945,-168.920955
2013,98,21740,32,-10096,2,400,5,56.673945,-168.920955
2013,98,21740,32,-10096,2,440,5,56.673945,-168.920955
2013,98,21740,32,-10096,1,420,5,56.673945,-168.920955
2013,98,21740,32,-10096,1,390,5,56.673945,-168.920955
2013,98,21740,32,-10096,1,420,5,56.673945,-168.920955
2013,98,21740,32,-10097,2,430,5,56.677755,-169.525855
2013,98,21740,32,-10097,1,450,5,56.677755,-169.525855
2013,98,21740,32,-10097,1,460,5,56.677755,-169.525855
2013,98,21740,32,-10097,1,450,5,56.677755,-169.525855
2013,98,21740,32,-10097,1,490,6,56.677755,-169.525855
2013,98,21740,32,-10097,1,440,5,56.677755,-169.525855
2013,98,21740,42,-10098,1,570,10,56.84354,-169.913015
2013,98,21740,42,-10098,1,550,7,56.84354,-169.913015
2013,98,21740,42,-10098,1,440,5,56.84354,-169.913015
2013,98,21740,42,-10098,1,420,5,56.84354,-169.913015
2013,98,21740,42,-10098,1,450,5,56.84354,-169.913015
2013,98,21740,42,-10098,1,420,5,56.84354,-169.913015
2013,98,21740,42,-10098,3,160,1,56.84354,-169.913015
2013,98,21740,42,-10098,3,150,1,56.84354,-169.913015
2013,98,21720,42,-10098,2,940,9,56.84354,-169.913015
2013,98,21720,42,-10098,2,890,7,56.84354,-169.913015
2013,98,21720,42,-10098,2,790,8,56.84354,-169.913015
2013,98,21740,42,-10100,2,440,5,57.009555,-170.146275
2013,98,21740,42,-10100,2,550,5,57.009555,-170.146275
2013,98,21740,42,-10100,1,410,5,57.009555,-170.146275
2013,98,21740,42,-10100,1,450,5,57.009555,-170.146275
2013,98,21740,42,-10100,1,410,5,57.009555,-170.146275
2013,98,21740,42,-10100,1,440,5,57.009555,-170.146275
2013,98,21720,42,-10100,2,840,7,57.009555,-170.146275
2013,98,21720,42,-10100,2,710,5,57.009555,-170.146275
2013,98,21720,42,-10100,2,770,7,57.009555,-170.146275
2013,98,21720,42,-10100,2,740,6,57.009555,-170.146275
2013,98,21720,42,-10100,2,680,5,57.009555,-170.146275
2013,98,21720,42,-10100,2,700,5,57.009555,-170.146275
2013,98,21740,31,-9993,1,570,6,56.330115,-165.20321
2013,98,21740,31,-9994,2,180,1,55.99833,-165.179285
2013,98,21740,31,-9994,3,150,1,55.99833,-165.179285
2013,98,21740,31,-9994,3,120,1,55.99833,-165.179285
2013,98,21740,50,-10019,1,560,8,54.992105,-165.13733
2013,98,21740,50,-10019,1,570,6,54.992105,-165.13733
2013,98,21740,50,-10019,2,580,8,54.992105,-165.13733
2013,98,21740,50,-10019,2,560,7,54.992105,-165.13733
2013,98,21740,50,-10019,2,550,7,54.992105,-165.13733
2013,98,21740,50,-10019,2,570,8,54.992105,-165.13733
2013,98,21740,50,-10020,1,600,7,55.33276,-165.17104
2013,98,21740,50,-10020,1,550,7,55.33276,-165.17104
2013,98,21740,50,-10020,2,590,7,55.33276,-165.17104
